departamento,anio,ingreso_laboral_soles,pobreza_extrema_pct,pobreza_total_pct,valor_max_pobreza_extrema_pct,valor_max_pobreza_total_pct,valor_min_pobreza_extrema_pct,valor_min_pobreza_total_pct,region_natural,linea_pobreza_total_soles,linea_pobreza_extrema_soles,gasto_real_soles,ingreso_real_soles,brecha_poder_adquisitivo,brecha_poder_adquisitivo_pct
AMAZONAS,2004,429.7,,,,,,,Selva,,,,,,
AMAZONAS,2005,372.7,,,,,,,Selva,,,,,,
AMAZONAS,2006,450.6,,,,,,,Selva,,,,,,
AMAZONAS,2007,542.3,23.7,56.55,25.6,59.0,21.8,54.1,Selva,,,,,,
AMAZONAS,2008,641.9,21.1,56.85,23.1,59.2,19.1,54.5,Selva,,,,,,
AMAZONAS,2009,718.7,22.0,55.2,24.1,57.4,19.9,53.0,Selva,,,,,,
AMAZONAS,2010,806.2,20.0,48.8,21.7,50.9,18.3,46.7,Selva,,,,,,
AMAZONAS,2011,784.1,14.75,40.1,16.6,42.8,12.9,37.4,Selva,,,,,,
AMAZONAS,2012,858.8,12.7,38.85,14.2,41.2,11.2,36.5,Selva,,,,,,
AMAZONAS,2013,826.1,13.85,50.55,15.5,53.3,12.2,47.8,Selva,,,,,,
AMAZONAS,2014,857.3,12.35,50.3,13.8,53.1,10.9,47.5,Selva,,,,,,
AMAZONAS,2015,939.1,10.55,48.2,12.3,51.7,8.8,44.7,Selva,265.9549,154.8931,726.1073608398438,910.799072265625,673.1451,253.10498133330123
AMAZONAS,2016,995.4,8.75,34.25,9.8,36.1,7.7,32.4,Selva,276.0883,161.7537,730.8702392578125,919.73486328125,719.3117,260.5368282538593
AMAZONAS,2017,967.1,8.8,35.05,10.2,36.8,7.4,33.3,Selva,282.9549,165.6352,737.7210693359375,925.312255859375,684.1451,241.78591711965404
AMAZONAS,2018,1033.2,6.85,34.55,7.7,36.2,6.0,32.9,Selva,287.3728,167.045,755.032470703125,940.0706787109375,745.8272000000001,259.53298294062625
AMAZONAS,2019,1014.0,2.95,30.5,3.5,32.7,2.4,28.3,Selva,295.906,172.239,759.429443359375,947.4945678710938,718.094,242.67639047535368
AMAZONAS,2020,992.9,7.3,32.95,8.3,34.6,6.3,31.3,Selva,302.947998046875,176.15371704101562,679.7675170898438,823.9931640625,689.952001953125,227.74601793089553
AMAZONAS,2021,1180.7,7.1,25.55,8.1,27.1,6.1,24.0,Selva,322.651306152344,187.489318847656,733.1981201171875,940.9542846679688,858.0486938476561,265.93684187427937
AMAZONAS,2022,1125.3,11.05,27.55,12.3,29.2,9.8,25.9,Selva,355.216339111328,210.020538330078,715.4158935546875,939.9522094726562,770.083660888672,216.79286003995463
AMAZONAS,2023,1240.4,9.15,24.45,10.5,25.8,7.8,23.1,Selva,378.482849121094,230.156036376953,712.16357421875,913.0884399414062,861.9171508789061,227.72951347212552
AMAZONAS,2024,,5.4,26.2,6.2,28.0,4.6,24.4,Selva,384.69677734375,234.5550079345703,723.2884521484375,954.185546875,,
AMAZONAS,2025,,3.6,20.85,4.3,22.3,2.9,19.4,Selva,,,,,,
APURÍMAC,2004,401.5,,,,,,,Sierra,,,,,,
APURÍMAC,2005,375.1,,,,,,,Sierra,,,,,,
APURÍMAC,2006,440.7,,,,,,,Sierra,,,,,,
APURÍMAC,2007,432.2,31.4,68.15,37.1,71.1,25.7,65.2,Sierra,,,,,,
APURÍMAC,2008,490.1,26.7,70.45,30.1,76.9,23.3,64.0,Sierra,,,,,,
APURÍMAC,2009,519.2,33.4,73.85,37.0,77.7,29.8,70.0,Sierra,,,,,,
APURÍMAC,2010,634.0,20.0,62.5,21.7,66.8,18.3,58.2,Sierra,,,,,,
APURÍMAC,2011,598.2,22.7,54.95,25.6,57.7,19.8,52.2,Sierra,,,,,,
APURÍMAC,2012,620.0,22.0,53.3,24.9,56.5,19.1,50.1,Sierra,,,,,,
APURÍMAC,2013,778.2,6.6,37.6,7.5,40.1,5.7,35.1,Sierra,,,,,,
APURÍMAC,2014,841.6,6.1,38.45,7.0,41.2,5.2,35.7,Sierra,,,,,,
APURÍMAC,2015,925.6,6.45,36.4,7.3,38.5,5.6,34.3,Sierra,257.0839,149.7291,769.1438598632812,977.572021484375,668.5161,260.038104292023
APURÍMAC,2016,889.4,4.8,34.25,5.7,36.1,3.9,32.4,Sierra,268.3418,157.2042,777.4718017578125,991.4824829101562,621.0581999999999,231.44295819734384
APURÍMAC,2017,900.8,5.6,35.05,6.5,36.8,4.7,33.3,Sierra,275.4038,161.215,769.5205078125,966.2655639648438,625.3961999999999,227.08335905314306
APURÍMAC,2018,936.9,3.1,34.55,3.6,36.2,2.6,32.9,Sierra,280.4419,162.4586,789.9581909179688,1019.4859008789062,656.4581000000001,234.0798931971293
APURÍMAC,2019,1123.8,6.85,30.5,7.9,32.7,5.8,28.3,Sierra,288.0951,166.972,809.4700927734375,1058.060302734375,835.7049,290.0795258232438
APURÍMAC,2020,1004.5,7.3,32.95,8.3,34.6,6.3,31.3,Sierra,292.9264221191406,168.42881774902344,701.3564453125,876.849365234375,711.5735778808594,242.91887796705626
APURÍMAC,2021,1104.8,7.1,25.55,8.1,27.1,6.1,24.0,Sierra,307.547668457031,176.623977661133,750.598388671875,996.2841186523438,797.2523315429689,259.22886541224324
APURÍMAC,2022,1201.1,3.85,27.55,4.4,29.2,3.3,25.9,Sierra,340.473175048828,200.289245605469,778.1641845703125,1030.7799072265625,860.6268249511719,252.77375371135994
APURÍMAC,2023,1284.0,4.55,24.45,5.2,25.8,3.9,23.1,Sierra,367.075653076172,223.148468017578,772.4815673828125,1020.2244873046875,916.924346923828,249.79165445591588
APURÍMAC,2024,,5.4,26.2,6.2,28.0,4.6,24.4,Sierra,373.2027893066406,226.5060577392578,789.5646362304688,1050.0640869140625,,
APURÍMAC,2025,,3.6,20.85,4.3,22.3,2.9,19.4,Sierra,,,,,,
AREQUIPA,2004,653.8,,,,,,,Costa,,,,,,
AREQUIPA,2005,646.7,,,,,,,Costa,,,,,,
AREQUIPA,2006,683.1,,,,,,,Costa,,,,,,
AREQUIPA,2007,816.5,1.45,25.35,1.9,27.2,1.0,23.5,Costa,,,,,,
AREQUIPA,2008,985.7,2.6,16.85,3.2,19.5,2.0,14.2,Costa,,,,,,
AREQUIPA,2009,1051.0,1.2,16.9,1.7,18.6,0.7,15.2,Costa,,,,,,
AREQUIPA,2010,1120.4,1.05,15.7,1.4,17.2,0.7,14.2,Costa,,,,,,
AREQUIPA,2011,1257.8,1.05,11.8,1.4,13.5,0.7,10.1,Costa,,,,,,
AREQUIPA,2012,1299.7,0.85,14.05,1.3,15.6,0.4,12.5,Costa,,,,,,
AREQUIPA,2013,1377.3,2.05,9.0,2.6,11.0,1.5,7.0,Costa,,,,,,
AREQUIPA,2014,1429.0,2.2,7.75,2.8,9.7,1.6,5.8,Costa,,,,,,
AREQUIPA,2015,1456.9,0.4,8.25,0.6,9.8,0.2,6.7,Costa,360.1033,182.9012,1094.15185546875,1466.4613037109375,1096.7967,304.5783529337277
AREQUIPA,2016,1512.2,0.25,10.8,0.4,12.0,0.1,9.6,Costa,374.6331,190.948,1121.3331298828125,1524.888427734375,1137.5669,303.64826279365064
