departamento,anio,ingreso_laboral_soles,pobreza_extrema_pct,pobreza_total_pct,valor_max_pobreza_extrema_pct,valor_max_pobreza_total_pct,valor_min_pobreza_extrema_pct,valor_min_pobreza_total_pct,region_natural
AMAZONAS,2004,429.7,,,,,,,Selva
AMAZONAS,2005,372.7,,,,,,,Selva
AMAZONAS,2006,450.6,,,,,,,Selva
AMAZONAS,2007,542.3,23.7,56.55,25.6,59.0,21.8,54.1,Selva
AMAZONAS,2008,641.9,21.1,56.85,23.1,59.2,19.1,54.5,Selva
AMAZONAS,2009,718.7,22.0,55.2,24.1,57.4,19.9,53.0,Selva
AMAZONAS,2010,806.2,20.0,48.8,21.7,50.9,18.3,46.7,Selva
AMAZONAS,2011,784.1,14.75,40.1,16.6,42.8,12.9,37.4,Selva
AMAZONAS,2012,858.8,12.7,38.85,14.2,41.2,11.2,36.5,Selva
AMAZONAS,2013,826.1,13.85,50.55,15.5,53.3,12.2,47.8,Selva
AMAZONAS,2014,857.3,12.35,50.3,13.8,53.1,10.9,47.5,Selva
AMAZONAS,2015,939.1,10.55,48.2,12.3,51.7,8.8,44.7,Selva
AMAZONAS,2016,995.4,8.75,34.25,9.8,36.1,7.7,32.4,Selva
AMAZONAS,2017,967.1,8.8,35.05,10.2,36.8,7.4,33.3,Selva
AMAZONAS,2018,1033.2,6.85,34.55,7.7,36.2,6.0,32.9,Selva
AMAZONAS,2019,1014.0,2.95,30.5,3.5,32.7,2.4,28.3,Selva
AMAZONAS,2020,992.9,7.3,32.95,8.3,34.6,6.3,31.3,Selva
AMAZONAS,2021,1180.7,7.1,25.55,8.1,27.1,6.1,24.0,Selva
AMAZONAS,2022,1125.3,11.05,27.55,12.3,29.2,9.8,25.9,Selva
AMAZONAS,2023,1240.4,9.15,24.45,10.5,25.8,7.8,23.1,Selva
AMAZONAS,2024,,5.4,26.2,6.2,28.0,4.6,24.4,Selva
AMAZONAS,2025,,3.6,20.85,4.3,22.3,2.9,19.4,Selva
APURÍMAC,2004,401.5,,,,,,,Sierra
APURÍMAC,2005,375.1,,,,,,,Sierra
APURÍMAC,2006,440.7,,,,,,,Sierra
APURÍMAC,2007,432.2,31.4,68.15,37.1,71.1,25.7,65.2,Sierra
APURÍMAC,2008,490.1,26.7,70.45,30.1,76.9,23.3,64.0,Sierra
APURÍMAC,2009,519.2,33.4,73.85,37.0,77.7,29.8,70.0,Sierra
APURÍMAC,2010,634.0,20.0,62.5,21.7,66.8,18.3,58.2,Sierra
APURÍMAC,2011,598.2,22.7,54.95,25.6,57.7,19.8,52.2,Sierra
APURÍMAC,2012,620.0,22.0,53.3,24.9,56.5,19.1,50.1,Sierra
APURÍMAC,2013,778.2,6.6,37.6,7.5,40.1,5.7,35.1,Sierra
APURÍMAC,2014,841.6,6.1,38.45,7.0,41.2,5.2,35.7,Sierra
APURÍMAC,2015,925.6,6.45,36.4,7.3,38.5,5.6,34.3,Sierra
APURÍMAC,2016,889.4,4.8,34.25,5.7,36.1,3.9,32.4,Sierra
APURÍMAC,2017,900.8,5.6,35.05,6.5,36.8,4.7,33.3,Sierra
APURÍMAC,2018,936.9,3.1,34.55,3.6,36.2,2.6,32.9,Sierra
APURÍMAC,2019,1123.8,6.85,30.5,7.9,32.7,5.8,28.3,Sierra
APURÍMAC,2020,1004.5,7.3,32.95,8.3,34.6,6.3,31.3,Sierra
APURÍMAC,2021,1104.8,7.1,25.55,8.1,27.1,6.1,24.0,Sierra
APURÍMAC,2022,1201.1,3.85,27.55,4.4,29.2,3.3,25.9,Sierra
APURÍMAC,2023,1284.0,4.55,24.45,5.2,25.8,3.9,23.1,Sierra
APURÍMAC,2024,,5.4,26.2,6.2,28.0,4.6,24.4,Sierra
APURÍMAC,2025,,3.6,20.85,4.3,22.3,2.9,19.4,Sierra
AREQUIPA,2004,653.8,,,,,,,Costa
AREQUIPA,2005,646.7,,,,,,,Costa
AREQUIPA,2006,683.1,,,,,,,Costa
AREQUIPA,2007,816.5,1.45,25.35,1.9,27.2,1.0,23.5,Costa
AREQUIPA,2008,985.7,2.6,16.85,3.2,19.5,2.0,14.2,Costa
AREQUIPA,2009,1051.0,1.2,16.9,1.7,18.6,0.7,15.2,Costa
AREQUIPA,2010,1120.4,1.05,15.7,1.4,17.2,0.7,14.2,Costa
AREQUIPA,2011,1257.8,1.05,11.8,1.4,13.5,0.7,10.1,Costa
AREQUIPA,2012,1299.7,0.85,14.05,1.3,15.6,0.4,12.5,Costa
AREQUIPA,2013,1377.3,2.05,9.0,2.6,11.0,1.5,7.0,Costa
AREQUIPA,2014,1429.0,2.2,7.75,2.8,9.7,1.6,5.8,Costa
AREQUIPA,2015,1456.9,0.4,8.25,0.6,9.8,0.2,6.7,Costa
AREQUIPA,2016,1512.2,0.25,10.8,0.4,12.0,0.1,9.6,Costa
AREQUIPA,2017,1545.0,0.7,13.35,1.0,14.6,0.4,12.1,Costa
AREQUIPA,2018,1644.6,0.5,12.55,0.7,13.8,0.3,11.3,Costa
AREQUIPA,2019,1703.1,0.5,13.3,0.7,14.6,0.3,12.0,Costa
AREQUIPA,2020,1530.3,3.05,17.3,3.7,19.5,2.4,15.1,Costa
AREQUIPA,2021,1542.9,1.85,12.8,2.4,14.6,1.3,11.0,Costa
AREQUIPA,2022,1923.9,2.55,13.85,3.2,15.7,1.9,12.0,Costa
AREQUIPA,2023,1994.9,3.0,15.65,3.7,17.6,2.3,13.7,Costa
AREQUIPA,2024,,2.95,16.75,3.6,18.6,2.3,14.9,Costa
AREQUIPA,2025,,1.75,13.6,2.2,15.3,1.3,11.9,Costa
AYACUCHO,2004,377.9,,,,,,,Sierra
AYACUCHO,2005,366.9,,,,,,,Sierra
AYACUCHO,2006,375.3,,,,,,,Sierra
AYACUCHO,2007,475.9,31.4,68.15,37.1,71.1,25.7,65.2,Sierra
AYACUCHO,2008,517.7,21.1,56.85,23.1,59.2,19.1,54.5,Sierra
AYACUCHO,2009,576.7,22.0,55.2,24.1,57.4,19.9,53.0,Sierra
AYACUCHO,2010,644.7,20.0,48.8,21.7,50.9,18.3,46.7,Sierra
AYACUCHO,2011,747.9,14.75,54.95,16.6,57.7,12.9,52.2,Sierra
AYACUCHO,2012,750.2,12.7,53.3,14.2,56.5,11.2,50.1,Sierra
AYACUCHO,2013,752.2,13.85,50.55,15.5,53.3,12.2,47.8,Sierra
AYACUCHO,2014,773.5,12.35,50.3,13.8,53.1,10.9,47.5,Sierra
AYACUCHO,2015,904.6,10.55,36.4,12.3,38.5,8.8,34.3,Sierra
AYACUCHO,2016,879.5,8.75,34.25,9.8,36.1,7.7,32.4,Sierra
AYACUCHO,2017,902.2,5.6,35.05,6.5,36.8,4.7,33.3,Sierra
AYACUCHO,2018,959.8,6.85,34.55,7.7,36.2,6.0,32.9,Sierra
AYACUCHO,2019,970.6,6.85,36.9,7.9,39.4,5.8,34.4,Sierra
AYACUCHO,2020,1095.4,12.95,43.65,14.7,45.9,11.2,41.4,Sierra
AYACUCHO,2021,1005.6,7.1,38.8,8.1,40.9,6.1,36.7,Sierra
AYACUCHO,2022,1222.0,11.05,41.35,12.3,43.3,9.8,39.4,Sierra
AYACUCHO,2023,1228.5,9.15,41.85,10.5,43.8,7.8,39.9,Sierra
AYACUCHO,2024,,11.3,31.9,12.8,33.8,9.8,30.0,Sierra
